Subject,Message,Spam/Ham
고객 미팅 자료 첨부합니다,내일 고객 미팅 자료를 첨부합니다. 혹시 수정할 부분이 있으면 오늘 중으로 말씀해 주세요. 감사합니다.,ham
[광고] 해외직구 명품 시계 무료배송,"해외 직구 명품 핸드백 특가 행사! 루이비통, 샤넬 정품을 면세점보다 저렴하게. 관부가세 무료! 한정 수량이니 서두르세요.",spam
내일 회의 일정 안내,안녕하세요. 내일 오후 3시에 2층 회의실 B에서 프로젝트 진행 회의가 있습니다. 참석 가능 여부 회신 부탁드립니다.,ham
🎉축하합니다! 100만원 당첨되셨습니다!!!,축하합니다! 귀하께서 추첨을 통해 100만원에 당첨되셨습니다. 지금 바로 아래 링크를 클릭하여 상금을 수령하세요. 본 기회는 24시간만 유효합니다!,spam
긴급) 계정 확인 필요 - 24시간 내 조치,보안 경고: 귀하의 계정에서 비정상적인 활동이 감지되었습니다. 24시간 이내에 본인 확인을 하지 않으면 계정이 정지됩니다. 즉시 링크를 클릭하여 확인하세요.,spam
사무실 이전 안내,"다음 달 15일에 사무실이 강남으로 이전됩니다. 이사 당일은 재택근무로 진행되며, 자세한 사항은 추후 공지하겠습니다.",ham
무료 아이폰 15 Pro 증정 이벤트,최신 아이폰 15 Pro를 무료로 드립니다! 간단한 설문조사만 완료하시면 추첨을 통해 100명에게 증정합니다. 참여 기회는 오늘까지입니다!,spam
긴급) 계정 확인 필요 - 24시간 내 조치,보안 경고: 귀하의 계정에서 비정상적인 활동이 감지되었습니다. 24시간 이내에 본인 확인을 하지 않으면 계정이 정지됩니다. 즉시 링크를 클릭하여 확인하세요.,spam
놓치면 후회! 오늘만 90% 할인,24시간 한정 특가! 명품 시계 90% 할인 행사 진행 중입니다. 정품 보증서 포함. 이 기회를 놓치지 마세요. 재고 소진 시 조기 마감됩니다!,spam
생일 축하드립니다!,생일 진심으로 축하드립니다! 팀원들이 함께 준비한 작은 선물이 있으니 사무실에서 받아가세요. 항상 건강하시고 좋은 일만 가득하시길 바랍니다.,ham
클릭 한 번으로 부자되기,단 한 번의 클릭으로 인생이 바뀝니다! 검증된 재테크 비법을 무료로 공개합니다. 이미 수천명이 이 방법으로 성공했습니다. 지금 바로 확인하세요!,spam
사무실 이전 안내,"다음 달 15일에 사무실이 강남으로 이전됩니다. 이사 당일은 재택근무로 진행되며, 자세한 사항은 추후 공지하겠습니다.",ham
주간 업무 보고,"이번 주 업무 보고드립니다. 고객사 미팅 3건 완료하였으며, 신규 계약 1건 체결하였습니다. 다음 주 일정은 별도로 공유드리겠습니다.",ham
놓치면 후회! 오늘만 90% 할인,24시간 한정 특가! 명품 시계 90% 할인 행사 진행 중입니다. 정품 보증서 포함. 이 기회를 놓치지 마세요. 재고 소진 시 조기 마감됩니다!,spam
내일 회의 일정 안내,안녕하세요. 내일 오후 3시에 2층 회의실 B에서 프로젝트 진행 회의가 있습니다. 참석 가능 여부 회신 부탁드립니다.,ham
사무실 이전 안내,"다음 달 15일에 사무실이 강남으로 이전됩니다. 이사 당일은 재택근무로 진행되며, 자세한 사항은 추후 공지하겠습니다.",ham
무료 아이폰 15 Pro 증정 이벤트,최신 아이폰 15 Pro를 무료로 드립니다! 간단한 설문조사만 완료하시면 추첨을 통해 100명에게 증정합니다. 참여 기회는 오늘까지입니다!,spam
무료 아이폰 15 Pro 증정 이벤트,최신 아이폰 15 Pro를 무료로 드립니다! 간단한 설문조사만 완료하시면 추첨을 통해 100명에게 증정합니다. 참여 기회는 오늘까지입니다!,spam
놓치면 후회! 오늘만 90% 할인,24시간 한정 특가! 명품 시계 90% 할인 행사 진행 중입니다. 정품 보증서 포함. 이 기회를 놓치지 마세요. 재고 소진 시 조기 마감됩니다!,spam
[광고] 해외직구 명품 시계 무료배송,"해외 직구 명품 핸드백 특가 행사! 루이비통, 샤넬 정품을 면세점보다 저렴하게. 관부가세 무료! 한정 수량이니 서두르세요.",spam
고객 미팅 자료 첨부합니다,내일 고객 미팅 자료를 첨부합니다. 혹시 수정할 부분이 있으면 오늘 중으로 말씀해 주세요. 감사합니다.,ham
대출 승인 완료! 즉시 3천만원 받으세요,대출 심사가 완료되었습니다! 귀하께 최대 3천만원까지 대출이 승인되었습니다. 서류 없이 5분만에 입금 가능! 오늘만 특별 금리 적용됩니다.,spam
3분기 재무 보고서 검토 요청,3분기 재무 보고서를 첨부하여 보내드립니다. 검토 후 다음 주 화요일까지 의견 주시면 감사하겠습니다.,ham
귀하의 휴대폰 요금 환급금이 있습니다,"통신사 요금 환급 안내입니다. 귀하의 휴대폰 번호로 미환급금 58,000원이 확인되었습니다. 아래 링크로 접속하여 계좌번호를 입력하시면 즉시 환급됩니다.",spam
긴급) 계정 확인 필요 - 24시간 내 조치,보안 경고: 귀하의 계정에서 비정상적인 활동이 감지되었습니다. 24시간 이내에 본인 확인을 하지 않으면 계정이 정지됩니다. 즉시 링크를 클릭하여 확인하세요.,spam
다음주 점심 약속 어떠세요?,다음 주 중에 점심 식사 같이 하면 어떨까요? 수요일이나 목요일 중 편한 시간 알려주시면 감사하겠습니다.,ham
연차 사용 승인 요청,12월 27일부터 29일까지 연차 사용 승인 부탁드립니다. 업무 인수인계는 김과장님께 완료하였습니다.,ham
3분기 재무 보고서 검토 요청,3분기 재무 보고서를 첨부하여 보내드립니다. 검토 후 다음 주 화요일까지 의견 주시면 감사하겠습니다.,ham
귀하의 휴대폰 요금 환급금이 있습니다,"통신사 요금 환급 안내입니다. 귀하의 휴대폰 번호로 미환급금 58,000원이 확인되었습니다. 아래 링크로 접속하여 계좌번호를 입력하시면 즉시 환급됩니다.",spam
무료 아이폰 15 Pro 증정 이벤트,최신 아이폰 15 Pro를 무료로 드립니다! 간단한 설문조사만 완료하시면 추첨을 통해 100명에게 증정합니다. 참여 기회는 오늘까지입니다!,spam
주간 업무 보고,"이번 주 업무 보고드립니다. 고객사 미팅 3건 완료하였으며, 신규 계약 1건 체결하였습니다. 다음 주 일정은 별도로 공유드리겠습니다.",ham
내일 회의 일정 안내,안녕하세요. 내일 오후 3시에 2층 회의실 B에서 프로젝트 진행 회의가 있습니다. 참석 가능 여부 회신 부탁드립니다.,ham
클릭 한 번으로 부자되기,단 한 번의 클릭으로 인생이 바뀝니다! 검증된 재테크 비법을 무료로 공개합니다. 이미 수천명이 이 방법으로 성공했습니다. 지금 바로 확인하세요!,spam
긴급) 계정 확인 필요 - 24시간 내 조치,보안 경고: 귀하의 계정에서 비정상적인 활동이 감지되었습니다. 24시간 이내에 본인 확인을 하지 않으면 계정이 정지됩니다. 즉시 링크를 클릭하여 확인하세요.,spam
팀 워크샵 참석 확인 부탁드립니다,"이번 금요일 팀 워크샵에 참석 가능하신지 확인 부탁드립니다. 장소는 제주도이며, 1박 2일 일정으로 진행됩니다.",ham
긴급) 계정 확인 필요 - 24시간 내 조치,보안 경고: 귀하의 계정에서 비정상적인 활동이 감지되었습니다. 24시간 이내에 본인 확인을 하지 않으면 계정이 정지됩니다. 즉시 링크를 클릭하여 확인하세요.,spam
귀하의 휴대폰 요금 환급금이 있습니다,"통신사 요금 환급 안내입니다. 귀하의 휴대폰 번호로 미환급금 58,000원이 확인되었습니다. 아래 링크로 접속하여 계좌번호를 입력하시면 즉시 환급됩니다.",spam
클릭 한 번으로 부자되기,단 한 번의 클릭으로 인생이 바뀝니다! 검증된 재테크 비법을 무료로 공개합니다. 이미 수천명이 이 방법으로 성공했습니다. 지금 바로 확인하세요!,spam
연차 사용 승인 요청,12월 27일부터 29일까지 연차 사용 승인 부탁드립니다. 업무 인수인계는 김과장님께 완료하였습니다.,ham
[광고] 해외직구 명품 시계 무료배송,"해외 직구 명품 핸드백 특가 행사! 루이비통, 샤넬 정품을 면세점보다 저렴하게. 관부가세 무료! 한정 수량이니 서두르세요.",spam
연차 사용 승인 요청,12월 27일부터 29일까지 연차 사용 승인 부탁드립니다. 업무 인수인계는 김과장님께 완료하였습니다.,ham
Re: 프로젝트 진행 현황 공유,"프로젝트 진행 현황을 공유드립니다. 현재 1단계가 완료되었으며, 다음 주부터 2단계 작업에 들어갈 예정입니다. 자세한 내용은 첨부 파일을 확인해 주세요.",ham
팀 워크샵 참석 확인 부탁드립니다,"이번 금요일 팀 워크샵에 참석 가능하신지 확인 부탁드립니다. 장소는 제주도이며, 1박 2일 일정으로 진행됩니다.",ham
대출 승인 완료! 즉시 3천만원 받으세요,대출 심사가 완료되었습니다! 귀하께 최대 3천만원까지 대출이 승인되었습니다. 서류 없이 5분만에 입금 가능! 오늘만 특별 금리 적용됩니다.,spam
🎉축하합니다! 100만원 당첨되셨습니다!!!,축하합니다! 귀하께서 추첨을 통해 100만원에 당첨되셨습니다. 지금 바로 아래 링크를 클릭하여 상금을 수령하세요. 본 기회는 24시간만 유효합니다!,spam
내일 회의 일정 안내,안녕하세요. 내일 오후 3시에 2층 회의실 B에서 프로젝트 진행 회의가 있습니다. 참석 가능 여부 회신 부탁드립니다.,ham
[광고] 해외직구 명품 시계 무료배송,"해외 직구 명품 핸드백 특가 행사! 루이비통, 샤넬 정품을 면세점보다 저렴하게. 관부가세 무료! 한정 수량이니 서두르세요.",spam
Re: 프로젝트 진행 현황 공유,"프로젝트 진행 현황을 공유드립니다. 현재 1단계가 완료되었으며, 다음 주부터 2단계 작업에 들어갈 예정입니다. 자세한 내용은 첨부 파일을 확인해 주세요.",ham
Re: 프로젝트 진행 현황 공유,"프로젝트 진행 현황을 공유드립니다. 현재 1단계가 완료되었으며, 다음 주부터 2단계 작업에 들어갈 예정입니다. 자세한 내용은 첨부 파일을 확인해 주세요.",ham
고객 미팅 자료 첨부합니다,내일 고객 미팅 자료를 첨부합니다. 혹시 수정할 부분이 있으면 오늘 중으로 말씀해 주세요. 감사합니다.,ham
생일 축하드립니다!,생일 진심으로 축하드립니다! 팀원들이 함께 준비한 작은 선물이 있으니 사무실에서 받아가세요. 항상 건강하시고 좋은 일만 가득하시길 바랍니다.,ham
3분기 재무 보고서 검토 요청,3분기 재무 보고서를 첨부하여 보내드립니다. 검토 후 다음 주 화요일까지 의견 주시면 감사하겠습니다.,ham
재택근무로 월 500만원 수익 보장,재택근무로 월 500만원 이상 수익을 올리실 수 있습니다. 경력과 학력 무관! 하루 2시간 투자로 경제적 자유를 얻으세요. 지금 신청하시면 무료 교육 제공!,spam
클릭 한 번으로 부자되기,단 한 번의 클릭으로 인생이 바뀝니다! 검증된 재테크 비법을 무료로 공개합니다. 이미 수천명이 이 방법으로 성공했습니다. 지금 바로 확인하세요!,spam
클릭 한 번으로 부자되기,단 한 번의 클릭으로 인생이 바뀝니다! 검증된 재테크 비법을 무료로 공개합니다. 이미 수천명이 이 방법으로 성공했습니다. 지금 바로 확인하세요!,spam
Re: 프로젝트 진행 현황 공유,"프로젝트 진행 현황을 공유드립니다. 현재 1단계가 완료되었으며, 다음 주부터 2단계 작업에 들어갈 예정입니다. 자세한 내용은 첨부 파일을 확인해 주세요.",ham
귀하의 휴대폰 요금 환급금이 있습니다,"통신사 요금 환급 안내입니다. 귀하의 휴대폰 번호로 미환급금 58,000원이 확인되었습니다. 아래 링크로 접속하여 계좌번호를 입력하시면 즉시 환급됩니다.",spam
주간 업무 보고,"이번 주 업무 보고드립니다. 고객사 미팅 3건 완료하였으며, 신규 계약 1건 체결하였습니다. 다음 주 일정은 별도로 공유드리겠습니다.",ham
무료 다이어트 약 - 2주만에 10kg 감량,혁신적인 다이어트 약품을 소개합니다. 운동 없이 2주만에 10kg 감량 보장! 부작용 전혀 없습니다. 지금 주문하시면 50% 할인된 가격에 구매 가능합니다.,spam
다음주 점심 약속 어떠세요?,다음 주 중에 점심 식사 같이 하면 어떨까요? 수요일이나 목요일 중 편한 시간 알려주시면 감사하겠습니다.,ham
무료 아이폰 15 Pro 증정 이벤트,최신 아이폰 15 Pro를 무료로 드립니다! 간단한 설문조사만 완료하시면 추첨을 통해 100명에게 증정합니다. 참여 기회는 오늘까지입니다!,spam
3분기 재무 보고서 검토 요청,3분기 재무 보고서를 첨부하여 보내드립니다. 검토 후 다음 주 화요일까지 의견 주시면 감사하겠습니다.,ham
주간 업무 보고,"이번 주 업무 보고드립니다. 고객사 미팅 3건 완료하였으며, 신규 계약 1건 체결하였습니다. 다음 주 일정은 별도로 공유드리겠습니다.",ham
귀하의 휴대폰 요금 환급금이 있습니다,"통신사 요금 환급 안내입니다. 귀하의 휴대폰 번호로 미환급금 58,000원이 확인되었습니다. 아래 링크로 접속하여 계좌번호를 입력하시면 즉시 환급됩니다.",spam
무료 아이폰 15 Pro 증정 이벤트,최신 아이폰 15 Pro를 무료로 드립니다! 간단한 설문조사만 완료하시면 추첨을 통해 100명에게 증정합니다. 참여 기회는 오늘까지입니다!,spam
주간 업무 보고,"이번 주 업무 보고드립니다. 고객사 미팅 3건 완료하였으며, 신규 계약 1건 체결하였습니다. 다음 주 일정은 별도로 공유드리겠습니다.",ham
재택근무로 월 500만원 수익 보장,재택근무로 월 500만원 이상 수익을 올리실 수 있습니다. 경력과 학력 무관! 하루 2시간 투자로 경제적 자유를 얻으세요. 지금 신청하시면 무료 교육 제공!,spam
무료 다이어트 약 - 2주만에 10kg 감량,혁신적인 다이어트 약품을 소개합니다. 운동 없이 2주만에 10kg 감량 보장! 부작용 전혀 없습니다. 지금 주문하시면 50% 할인된 가격에 구매 가능합니다.,spam
재택근무로 월 500만원 수익 보장,재택근무로 월 500만원 이상 수익을 올리실 수 있습니다. 경력과 학력 무관! 하루 2시간 투자로 경제적 자유를 얻으세요. 지금 신청하시면 무료 교육 제공!,spam
무료 다이어트 약 - 2주만에 10kg 감량,혁신적인 다이어트 약품을 소개합니다. 운동 없이 2주만에 10kg 감량 보장! 부작용 전혀 없습니다. 지금 주문하시면 50% 할인된 가격에 구매 가능합니다.,spam
긴급) 계정 확인 필요 - 24시간 내 조치,보안 경고: 귀하의 계정에서 비정상적인 활동이 감지되었습니다. 24시간 이내에 본인 확인을 하지 않으면 계정이 정지됩니다. 즉시 링크를 클릭하여 확인하세요.,spam
3분기 재무 보고서 검토 요청,3분기 재무 보고서를 첨부하여 보내드립니다. 검토 후 다음 주 화요일까지 의견 주시면 감사하겠습니다.,ham
생일 축하드립니다!,생일 진심으로 축하드립니다! 팀원들이 함께 준비한 작은 선물이 있으니 사무실에서 받아가세요. 항상 건강하시고 좋은 일만 가득하시길 바랍니다.,ham
연차 사용 승인 요청,12월 27일부터 29일까지 연차 사용 승인 부탁드립니다. 업무 인수인계는 김과장님께 완료하였습니다.,ham
사무실 이전 안내,"다음 달 15일에 사무실이 강남으로 이전됩니다. 이사 당일은 재택근무로 진행되며, 자세한 사항은 추후 공지하겠습니다.",ham
팀 워크샵 참석 확인 부탁드립니다,"이번 금요일 팀 워크샵에 참석 가능하신지 확인 부탁드립니다. 장소는 제주도이며, 1박 2일 일정으로 진행됩니다.",ham
고객 미팅 자료 첨부합니다,내일 고객 미팅 자료를 첨부합니다. 혹시 수정할 부분이 있으면 오늘 중으로 말씀해 주세요. 감사합니다.,ham
다음주 점심 약속 어떠세요?,다음 주 중에 점심 식사 같이 하면 어떨까요? 수요일이나 목요일 중 편한 시간 알려주시면 감사하겠습니다.,ham
생일 축하드립니다!,생일 진심으로 축하드립니다! 팀원들이 함께 준비한 작은 선물이 있으니 사무실에서 받아가세요. 항상 건강하시고 좋은 일만 가득하시길 바랍니다.,ham
🎉축하합니다! 100만원 당첨되셨습니다!!!,축하합니다! 귀하께서 추첨을 통해 100만원에 당첨되셨습니다. 지금 바로 아래 링크를 클릭하여 상금을 수령하세요. 본 기회는 24시간만 유효합니다!,spam
내일 회의 일정 안내,안녕하세요. 내일 오후 3시에 2층 회의실 B에서 프로젝트 진행 회의가 있습니다. 참석 가능 여부 회신 부탁드립니다.,ham
Re: 프로젝트 진행 현황 공유,"프로젝트 진행 현황을 공유드립니다. 현재 1단계가 완료되었으며, 다음 주부터 2단계 작업에 들어갈 예정입니다. 자세한 내용은 첨부 파일을 확인해 주세요.",ham
고객 미팅 자료 첨부합니다,내일 고객 미팅 자료를 첨부합니다. 혹시 수정할 부분이 있으면 오늘 중으로 말씀해 주세요. 감사합니다.,ham
대출 승인 완료! 즉시 3천만원 받으세요,대출 심사가 완료되었습니다! 귀하께 최대 3천만원까지 대출이 승인되었습니다. 서류 없이 5분만에 입금 가능! 오늘만 특별 금리 적용됩니다.,spam
다음주 점심 약속 어떠세요?,다음 주 중에 점심 식사 같이 하면 어떨까요? 수요일이나 목요일 중 편한 시간 알려주시면 감사하겠습니다.,ham
재택근무로 월 500만원 수익 보장,재택근무로 월 500만원 이상 수익을 올리실 수 있습니다. 경력과 학력 무관! 하루 2시간 투자로 경제적 자유를 얻으세요. 지금 신청하시면 무료 교육 제공!,spam
다음주 점심 약속 어떠세요?,다음 주 중에 점심 식사 같이 하면 어떨까요? 수요일이나 목요일 중 편한 시간 알려주시면 감사하겠습니다.,ham
